Location,Time,PopMale,PopFemale,PopTotal,PopDensity
United States Virgin Islands,2019,49.704,54.875,104.579,298.797
United States of America,2019,162826.299,166238.618,329064.917,35.974
United States of America (and dependencies),2019,164409.733,167972.987,332382.72,36.295
Upper-middle-income countries,2019,1327282.743,1311675.687,2638958.43,47.516
Uruguay,2019,1671.889,1789.842,3461.731,19.779
Uzbekistan,2019,16450.116,16531.599,32981.715,77.531
Vanuatu,2019,152.038,147.844,299.882,24.601
Venezuela (Bolivarian Republic of),2019,14045.228,14470.601,28515.829,32.329
Viet Nam,2019,48151.352,48310.756,96462.108,311.098
WB region: East Asia and Pacific (excluding high income),2019,1082939.007,1046815.524,2129754.531,133.831
WB region: Europe and Central Asia (excluding high income),2019,201605.872,219429.885,421035.757,18.62
WB region: Latin America and Caribbean (excluding high income),2019,280528.965,289282.904,569811.869,34.991
WB region: Middle East and North Africa (excluding high income),2019,196415.223,193337.968,389753.191,45.105
WB region: South Asia (excluding high income),2019,947602.141,887695.362,1835297.503,384.631
WB region: Sub-Saharan Africa (excluding high income),2019,552296.673,554567.531,1106864.204,46.867
WHO Regions,2019,3867203.614,3801684.612,7668888.226,59.34
WHO: African region (AFRO),2019,545008.354,546750.502,1091758.856,46.247
WHO: Americas (AMRO),2019,497990.278,511959.852,1009950.13,26.389
WHO: Eastern Mediterranean Region (EMRO),2019,367790.826,344485.465,712276.291,56.34
WHO: European Region (EURO),2019,451093.616,479073.002,930166.618,34.399
WHO: South-East Asia region (SEARO),2019,1026050.375,975895.902,2001946.277,309.953
WHO: Western Pacific region (WPRO),2019,979270.165,943519.889,1922790.054,90.626
Wallis and Futuna Islands,2019,,,11.436,81.686
West African Economic and Monetary Union (UEMOA),2019,63478.176,63629.292,127107.468,36.67
Western Africa,2019,196986.982,194453.165,391440.147,64.551
Western Asia,2019,144136.797,131187.996,275324.793,57.299
Western Europe,2019,96018.941,99503.471,195522.412,180.239
Western European and Others Group (WEOG),2019,453121.385,465967.038,919088.423,29.497
Western Sahara,2019,304.755,277.703,582.458,2.19
World,2019,3889034.611,3824433.594,7713468.205,59.291
World Bank Regional Groups (developing only),2019,3261387.881,3191129.174,6452517.055,70.258
Yemen,2019,14692.284,14469.638,29161.922,55.234
Zambia,2019,8843.214,9017.82,17861.034,24.026
Zimbabwe,2019,6983.353,7662.12,14645.473,37.858
